pdbid,value
0,3nq3,3.78
1,4b5w,3.33
2,3uxl,5.57
3,6eog,5.8
4,6p89,5.01
5,1qbs,9.47
6,4u1b,5.31
7,4avj,7.44
8,3acx,5.7
9,5fut,6.45
10,3b65,9.27
11,5xo7,6.36
12,2dri,6.89
13,4q4q,5.79
14,4bt5,2.76
15,2jdu,6.72
16,6p87,4.6
17,4wn5,7.41
18,3su1,6.68
19,5fyx,4.16
20,5ko5,4.57
21,6hke,7.68
22,1b8y,7.85
23,6b4u,7.68
24,5ad1,7.24
25,4bj8,8.29
26,6gl8,8.61
27,3zhx,6.68
28,5zyg,5.21
29,1ndw,5.23
30,5lz7,6.28
31,1g2k,7.96
32,1lee,7.74
33,3tsk,7.17
34,4x50,7.75
35,4r4c,5.54
36,5hwv,5.07
37,4ndu,2.74
38,2i80,5.4
39,2o4j,10.1
40,5ult,10.85
41,3nhi,8.43
42,6t1m,5.21
43,4epy,3.47
44,5nau,7.52
45,3t2q,3.66
46,3e5u,5.85
47,3nu5,8.35
48,5j3l,4.8
49,1ajq,4.31
50,5ka7,4.35
51,1nl9,5.96
52,1ogz,5.85
53,1msn,9.09
54,1ajp,2.23
55,2doo,7.17
56,4kz3,2.77
57,5aba,2.98
58,5dgu,11.35
59,3zi8,5.66
60,4ynb,10.37
61,1srg,5.3
62,3lea,9.1
63,3o9p,6.52
64,2fzk,3.6
65,2q8z,5.68
66,6jbb,5.99
67,5cp5,5.91
68,1aid,4.82
69,4kwg,6.0
70,5eqy,8.0
71,2qdt,5.19
72,3pb7,5.74
73,1yvm,6.4
74,4b6o,7.0
75,3jup,5.58
76,3n7o,7.14
77,2xbw,8.0
78,2jf4,8.15
79,4cr5,4.15
80,1n51,4.85
81,2jdp,6.6
82,1f8d,3.4
83,1olx,4.33
84,6q4e,3.46
85,3ljg,7.73
86,4bt4,3.34
87,3zi0,7.4
88,1r9l,5.4
89,4fxq,5.77
90,6g29,4.33
91,4y3j,2.17
92,2vzr,4.28
93,3a6t,7.28
94,5hvt,7.26
95,3rt8,6.35
96,4yo8,10.52
97,4zow,4.12
98,3tcg,5.87
99,3pcj,7.22
100,2clh,4.06
101,3ui7,9.0
102,1km3,4.91
103,4k55,5.51
104,2f8g,8.7
105,3gi5,11.22
106,6gvz,6.4
107,1hee,5.34
108,1ecq,3.0
109,3s45,8.49
110,2wyj,9.0
111,4u43,4.32
112,4hw3,6.49
113,4f6u,6.15
114,2yaz,5.14
115,1pzi,4.22
116,5fbi,2.8
117,2jg0,7.82
118,4qfp,4.23
119,3t09,3.8
120,5dxt,9.7
121,1jmg,6.07
122,2v2q,4.15
123,4i8w,10.9
124,2wyg,8.7
125,3wjw,3.87
126,4l51,3.0
127,3wz7,5.74
128,1bju,4.8
129,5o2d,5.68
130,5mrm,5.03
131,3pce,2.0
132,6d1h,3.72
133,5nvx,7.05
134,1fzq,7.62
135,3mv0,3.85
136,3nu4,8.82
137,6arn,5.19
138,6jap,4.8
139,4bps,2.99
140,6o5t,6.5
141,4aia,3.66
142,4cjp,3.32
143,5u6j,7.64
144,4bb9,6.0
145,4pb2,4.8
146,5btx,3.55
147,5zni,4.39
148,2b4l,4.77
149,1phw,3.3
150,4ih5,4.11
151,3zq9,6.02
152,2y81,8.7
153,4css,8.46
154,5fs5,6.69
155,3n86,5.64
156,4u6c,5.0
157,5yh8,6.78
