pdbid,H_H,H_C,H_N,H_O,H_S,C_H,C_C,C_N,C_O,C_S,N_H,N_C,N_N,N_O,N_S,O_H,O_C,O_N,O_O,O_S,S_H,S_C,S_N,S_O,S_S,H_P,C_P,N_P,O_P,S_P,H_F,C_F,N_F,O_F,S_F,H_I,C_I,N_I,O_I,S_I
10gs,5811.0,4935.0,698.0,1346.0,257.0,3836.0,3285.0,478.0,915.0,168.0,1017.0,864.0,131.0,240.0,46.0,1000.0,809.0,125.0,233.0,42.0,60.0,44.0,9.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184l,4643.0,3411.0,0.0,0.0,0.0,3081.0,2265.0,0.0,0.0,0.0,773.0,566.0,0.0,0.0,0.0,810.0,598.0,0.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185l,2374.0,2799.0,361.0,0.0,0.0,1565.0,1845.0,236.0,0.0,0.0,398.0,464.0,59.0,0.0,0.0,416.0,494.0,66.0,0.0,0.0,19.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186l,4672.0,3415.0,0.0,0.0,0.0,3064.0,2262.0,0.0,0.0,0.0,781.0,560.0,0.0,0.0,0.0,816.0,600.0,0.0,0.0,0.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187l,3405.0,2787.0,0.0,0.0,0.0,2221.0,1847.0,0.0,0.0,0.0,565.0,457.0,0.0,0.0,0.0,589.0,486.0,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188l,3392.0,2767.0,0.0,0.0,0.0,2227.0,1842.0,0.0,0.0,0.0,558.0,460.0,0.0,0.0,0.0,582.0,483.0,0.0,0.0,0.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a1e,4971.0,3712.0,406.0,1469.0,0.0,3098.0,2270.0,236.0,904.0,0.0,865.0,667.0,77.0,286.0,0.0,865.0,649.0,66.0,272.0,0.0,49.0,35.0,5.0,14.0,0.0,196.0,126.0,41.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a28,10718.0,7670.0,0.0,681.0,0.0,6919.0,4901.0,0.0,447.0,0.0,1524.0,1079.0,0.0,97.0,0.0,1559.0,1074.0,0.0,102.0,0.0,188.0,130.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a30,6012.0,4129.0,797.0,2230.0,0.0,3698.0,2562.0,478.0,1366.0,0.0,1004.0,701.0,135.0,377.0,0.0,1084.0,742.0,139.0,414.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a4k,4761.0,4486.0,609.0,1161.0,0.0,3424.0,3229.0,426.0,856.0,0.0,983.0,948.0,131.0,260.0,0.0,919.0,890.0,126.0,228.0,0.0,10.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
