pdbid,H_H,H_C,H_N,H_O,H_P,C_H,C_C,C_N,C_O,C_P,N_H,N_C,N_N,N_O,N_P,O_H,O_C,O_N,O_O,O_P,S_H,S_C,S_N,S_O,S_P,H_S,C_S,N_S,O_S,S_S
1a1e,4971,3712,406.0,1469,196.0,3098,2270,236.0,904,126.0,865,667,77.0,286,41.0,865,649,66.0,272,40.0,49,35,5.0,14,1.0,0.0,0.0,0.0,0.0,0.0
1a28,10718,7670,0.0,681,0.0,6919,4901,0.0,447,0.0,1524,1079,0.0,97,0.0,1559,1074,0.0,102,0.0,188,130,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
1a30,6012,4129,797.0,2230,0.0,3698,2562,478.0,1366,0.0,1004,701,135.0,377,0.0,1084,742,139.0,414,0.0,5,2,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1a4k,4761,4486,609.0,1161,0.0,3424,3229,426.0,856,0.0,983,948,131.0,260,0.0,919,890,126.0,228,0.0,10,12,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0
1a4r,2813,2244,1422.0,2292,486.0,1735,1388,880.0,1446,310.0,451,353,228.0,353,76.0,544,441,277.0,426,87.0,23,20,14.0,22,4.0,0.0,0.0,0.0,0.0,0.0
1a4w,8319,5700,1596.0,766,0.0,6100,4145,1136.0,537,0.0,1587,1084,309.0,132,0.0,1820,1244,345.0,158,0.0,125,90,25.0,13,0.0,321.0,226.0,64.0,72.0,6.0
1a69,3848,3209,1275.0,1614,0.0,2493,2084,804.0,1043,0.0,742,602,236.0,318,0.0,732,597,226.0,308,0.0,73,57,22.0,28,0.0,0.0,0.0,0.0,0.0,0.0
1a8i,3737,2462,627.0,2162,0.0,2398,1558,393.0,1382,0.0,758,522,128.0,442,0.0,803,529,126.0,461,0.0,19,11,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0
1a9m,14057,7726,1838.0,1725,0.0,8729,4868,1148.0,1079,0.0,2493,1385,343.0,307,0.0,2469,1379,330.0,307,0.0,8,4,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1a9q,1289,1607,1287.0,315,0.0,845,1070,847.0,212,0.0,226,276,225.0,56,0.0,244,296,239.0,57,0.0,13,14,14.0,3,0.0,0.0,0.0,0.0,0.0,0.0
